LookupKey,ProductCompound,ReactionType,BalancedEquation,ApplicationDetails
"C,H,O",C6H12O6 (Glucose / Carbohydrate Sugar),Biological Photosynthesis,6CO2 + 6H2O -> C6H12O6 + 6O2,Principal energy framework substance supplying metabolic fuel loops inside ecosystems. Widely leveraged within industrial organic bio-ethanol refinement.
"C,N,Na",NaCN (Sodium Cyanide),Substitution Extraction Agent,Na2CO3 + 2C + 2NH3 -> 2NaCN + 3H2O + CO,Reagent compound critical for separating pure raw gold metals from rocky gold ore matrices.
"C,O",CO2 (Carbon Dioxide),Combustion,C + O2 -> CO2,Widely deployed inside industrial fire suppression equipment. Critical carbon source element used dynamically in organic greenhouse cultivation.
"Cl,Na",NaCl (Sodium Chloride),Synthesis,2Na + Cl2 -> 2NaCl,Industrial food preservation agent. Fundamental chemical precursor utilized in commercial chlorine and sodium generation.
"Fe,O",Fe2O3 (Iron III Oxide / Rust),Oxidation / Corrosion,4Fe + 3O2 -> 2Fe2O3,Naturally occurring ore core archetype utilized widely across metallurgy smelting loops. Extensively applied as a magnetic recording tape coating matrix.
"H,N",NH3 (Ammonia Gas),Haber-Bosch Synthesis,N2 + 3H2 -> 2NH3,Global precursor base required for synthesis of agricultural fertilizers. Extensively localized within heavy industrial cooling compressor units.
"H,N,O",HNO3 (Nitric Acid),Multi-stage Complex Oxidation,NH3 + 2O2 -> HNO3 + H2O,Primary asset leveraged to etch microchip circuitry tracking lanes. Main operational chemical compound inside industrial fertilizer generation lines.
"H,O",H2O (Water),Synthesis,2H2 + O2 -> 2H2O,Highly exothermic reaction utilized in rocket propulsion systems. Universal chemical solvent crucial for biochemical life cycles.
"H,O,S",H2SO4 (Sulfuric Acid),Contact Process Oxidation Loop,2SO2 + O2 + 2H2O -> 2H2SO4,Universal metric indicator tracking chemical industrial economic health metrics. Primary processing fluid used inside lead-acid automotive energy cells.
"Cl,H",HCl (Hydrochloric Acid),Direct Synthesis,H2 + Cl2 -> 2HCl,Essential chemical cleaning agent for etching metals and regulating pH levels in large-scale swimming pool maintenance systems.
"N,O",NO2 (Nitrogen Dioxide),Oxidation,2NO + O2 -> 2NO2,Used as an industrial oxidizing agent and as a precursor for the production of specialized polymer resins.
"O,S",SO2 (Sulfur Dioxide),Combustion,S + O2 -> SO2,Key chemical intermediate in the manufacture of sulfuric acid and a traditional preservative for dried food products.
"C,H,S",CH3SH (Methanethiol),Catalytic Synthesis,CH3OH + H2S -> CH3SH + H2O,Primary odorant added to natural gas to provide a safety warning scent for leak detection.
"Na,O,S",Na2SO4 (Sodium Sulfate),Neutralization,2NaOH + H2SO4 -> Na2SO4 + 2H2O,Key additive in the manufacturing of powdered laundry detergents and the Kraft process for paper pulping.
"Fe,S",FeS (Iron Sulfide),Direct Synthesis,Fe + S -> FeS,Utilized in the generation of hydrogen sulfide gas in laboratory settings and as a catalyst in various metallurgical processes.
"C,Na,O",Na2CO3 (Sodium Carbonate),Solvay Process,2NaCl + CaCO3 -> Na2CO3 + CaCl2,Fundamental raw material in glass manufacturing and acts as a pH regulator in water treatment plants.
"N,H,S",(NH4)2SO4 (Ammonium Sulfate),Neutralization,2NH3 + H2SO4 -> (NH4)2SO4,Widely used as a high-nitrogen agricultural fertilizer and as a food additive for dough conditioning.
"Fe,Cl",FeCl3 (Iron III Chloride),Oxidation,2Fe + 3Cl2 -> 2FeCl3,Highly effective flocculant for sewage treatment and a common etchant for copper in printed circuit board fabrication.
"C,N,O",CH4N2O (Urea),Industrial Synthesis,CO2 + 2NH3 -> CH4N2O + H2O,Principal nitrogen-release fertilizer for crop cultivation and a key component in urea-formaldehyde resins for wood bonding.
